customer_id,full_name,email,region,signup_date,lifetime_value,segment
CUST-000001,Carla Cordova,carla.cordova@example.org,EMEA,2023-08-26,8944.97,enterprise
CUST-000002,Vera Adler,vera.adler@example.org,APAC,2024-04-23,41962.19,enterprise
CUST-000003,Maja Olsen,maja.olsen@example.com,AMER,2023-01-13,60750.01,enterprise
CUST-000004,Nils Gruber,nils.gruber@example.net,AMER,2024-03-24,24971.47,enterprise
CUST-000005,Quinn Halvorsen,quinn.halvorsen@example.org,AMER,2022-02-11,13717.06,midmarket
CUST-000006,Hugo Bergmann,hugo.bergmann@example.com,AMER,2022-09-25,51344.12,enterprise
CUST-000007,Rosa Petrov,rosa.petrov@example.com,EMEA,2025-05-28,2202.75,smb
CUST-000008,Carla Bergmann,carla.bergmann@example.com,APAC,2023-09-05,16206.48,enterprise
CUST-000009,Rosa Vermeer,rosa.vermeer@example.net,EMEA,2021-07-21,5559.98,midmarket
CUST-000010,Jonas Kowalski,jonas.kowalski@example.com,AMER,2022-01-09,6139.02,midmarket
CUST-000011,Quinn Schneider,quinn.schneider@example.org,AMER,2022-04-30,48428.34,enterprise
CUST-000012,Hugo Ivanov,hugo.ivanov@example.org,APAC,2024-12-29,1296.70,smb
CUST-000013,Greta Eriksen,greta.eriksen@example.com,AMER,2023-10-12,724.02,smb
CUST-000014,Zoran Kowalski,zoran.kowalski@example.org,AMER,2023-03-28,27184.06,enterprise
CUST-000015,Quinn Rossi,quinn.rossi@example.com,AMER,2023-09-30,22234.64,enterprise
CUST-000016,Dmitri Gruber,dmitri.gruber@example.net,APAC,2021-08-03,19985.69,enterprise
CUST-000017,Lars Gruber,lars.gruber@example.net,APAC,2021-09-27,1639.22,smb
CUST-000018,Zoran Gruber,zoran.gruber@example.net,APAC,2023-01-24,15383.61,midmarket
CUST-000019,Olga Cordova,olga.cordova@example.com,AMER,2023-08-21,1537.06,smb
CUST-000020,Ines Toivonen,ines.toivonen@example.org,EMEA,2024-09-14,75142.92,enterprise
CUST-000021,Carla Bergmann,carla.bergmann@example.net,EMEA,2022-06-27,62300.16,enterprise
CUST-000022,Quinn Moreau,quinn.moreau@example.org,APAC,2025-06-29,779.43,smb
CUST-000023,Maja Ivanov,maja.ivanov@example.com,EMEA,2023-07-24,897.24,smb
CUST-000024,Nils Moreau,nils.moreau@example.net,EMEA,2021-05-11,23728.70,enterprise
CUST-000025,Piet Halvorsen,piet.halvorsen@example.com,EMEA,2022-01-04,33157.30,enterprise
CUST-000026,Rosa Adler,rosa.adler@example.com,AMER,2024-05-20,1105.95,smb
CUST-000027,Maja Vermeer,maja.vermeer@example.net,EMEA,2025-04-26,2037.68,midmarket
CUST-000028,Piet Kowalski,piet.kowalski@example.net,APAC,2023-08-20,8043.81,enterprise
